,work_year,experience_level,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_normalized
1879,2022,SE,Data Engineering & Infrastructure,190000.0,North America,100,North America,M,0.6157044411141829
1880,2022,SE,Data Engineering & Infrastructure,160000.0,North America,100,North America,M,0.5119340296904442
1881,2022,EN,Data Analysis & Analytics,100000.0,North America,100,North America,M,0.30439320684296683
1882,2022,MI,Data Engineering & Infrastructure,130000.0,North America,0,North America,M,0.4081636182667055
1883,2022,MI,Data Engineering & Infrastructure,115000.0,North America,0,North America,M,0.35627841255483617
1884,2022,MI,Data Science & Machine Learning,92350.0,Europe,0,Europe,M,0.2779317519299135
1885,2022,MI,Data Science & Machine Learning,67723.0,Europe,0,Europe,M,0.19274662119216637
1886,2022,MI,Data Engineering & Infrastructure,105000.0,North America,0,North America,M,0.32168827541358996
1887,2022,MI,Data Engineering & Infrastructure,70000.0,North America,0,North America,M,0.20062279541922814
1888,2022,SE,Data Science & Machine Learning,204500.0,North America,0,North America,M,0.66586013996899
1889,2022,SE,Data Science & Machine Learning,142200.0,North America,0,North America,M,0.4503635855790259
1890,2022,SE,Data Science & Machine Learning,192000.0,North America,100,North America,M,0.6226224685424321
1891,2022,SE,Data Science & Machine Learning,164000.0,North America,100,North America,M,0.5257700845469427
1892,2022,SE,Data Engineering & Infrastructure,185900.0,North America,0,North America,M,0.6015224848862719
1893,2022,SE,Data Engineering & Infrastructure,129300.0,North America,0,North America,M,0.40574230866681826
1894,2022,SE,Data Engineering & Infrastructure,130000.0,North America,0,North America,M,0.4081636182667055
1895,2022,SE,Data Engineering & Infrastructure,75000.0,North America,0,North America,M,0.21791786398985125
1896,2022,SE,Data Management,175000.0,North America,0,North America,M,0.5638192354023136
1897,2022,SE,Data Management,120000.0,North America,0,North America,M,0.3735734811254593
1898,2022,SE,Data Engineering & Infrastructure,167500.0,North America,0,North America,M,0.5378766325463789
1899,2022,SE,Data Engineering & Infrastructure,106500.0,North America,0,North America,M,0.32687679598477687
1900,2022,MI,Data Analysis & Analytics,75000.0,North America,100,North America,M,0.21791786398985125
1901,2022,MI,Data Analysis & Analytics,60000.0,North America,100,North America,M,0.16603265827798191
1902,2022,SE,Data Science & Machine Learning,184000.0,North America,100,North America,M,0.5949503588294351
1903,2022,SE,Data Science & Machine Learning,142000.0,North America,100,North America,M,0.449671782836201
1904,2022,MI,Data Science & Machine Learning,145000.0,North America,0,North America,M,0.46004882397857483
1905,2022,MI,Data Science & Machine Learning,100000.0,North America,0,North America,M,0.30439320684296683
1906,2022,MI,Data Science & Machine Learning,31795.0,Other,100,North America,M,0.0684711764710969
1907,2022,MI,Data Science & Machine Learning,44365.0,Europe,100,Europe,S,0.11195097885764344
1908,2022,SE,Data Engineering & Infrastructure,175000.0,North America,0,North America,M,0.5638192354023136
1909,2022,SE,Data Engineering & Infrastructure,120000.0,North America,0,North America,M,0.3735734811254593
1910,2022,SE,Data Engineering & Infrastructure,175000.0,North America,0,North America,M,0.5638192354023136
1911,2022,SE,Data Engineering & Infrastructure,120000.0,North America,0,North America,M,0.3735734811254593
1912,2022,EX,Data Engineering & Infrastructure,200000.0,North America,0,North America,M,0.6502945782554291
1913,2022,EX,Data Engineering & Infrastructure,145000.0,North America,0,North America,M,0.46004882397857483
1914,2022,MI,Data Engineering & Infrastructure,92350.0,Europe,100,Europe,M,0.2779317519299135
1915,2022,MI,Data Engineering & Infrastructure,73880.0,Europe,100,Europe,M,0.21404376863003166
1916,2022,SE,Data Engineering & Infrastructure,145000.0,North America,0,North America,M,0.46004882397857483
1917,2022,SE,Data Engineering & Infrastructure,100000.0,North America,0,North America,M,0.30439320684296683
1918,2022,SE,Data Science & Machine Learning,192000.0,North America,100,North America,M,0.6226224685424321
1919,2022,SE,Data Science & Machine Learning,164000.0,North America,100,North America,M,0.5257700845469427
1920,2022,EX,Data Engineering & Infrastructure,301099.75,North America,100,North America,M,1.0
1921,2022,EX,Data Engineering & Infrastructure,239000.0,North America,100,North America,M,0.7851961131062895
1922,2022,SE,Data Analysis & Analytics,120000.0,North America,0,North America,M,0.3735734811254593
1923,2022,SE,Data Analysis & Analytics,95000.0,North America,0,North America,M,0.2870981382723437
1924,2022,SE,Data Science & Machine Learning,145000.0,North America,0,North America,M,0.46004882397857483
1925,2022,SE,Data Science & Machine Learning,135000.0,North America,0,North America,M,0.4254586868373286
1926,2022,SE,Data Engineering & Infrastructure,100000.0,North America,0,North America,M,0.30439320684296683
1927,2022,SE,Data Engineering & Infrastructure,78000.0,North America,0,North America,M,0.2282949051322251
1928,2022,SE,Data Engineering & Infrastructure,73546.0,Europe,0,Europe,M,0.21288845804951406
1929,2022,SE,Data Engineering & Infrastructure,36773.0,Europe,0,Europe,M,0.0856901467400093
1930,2022,MI,Data Engineering & Infrastructure,160000.0,North America,100,North America,M,0.5119340296904442
1931,2022,MI,Data Engineering & Infrastructure,120000.0,North America,100,North America,M,0.3735734811254593
1932,2022,SE,Data Science & Machine Learning,190000.0,North America,0,North America,M,0.6157044411141829
1933,2022,SE,Data Science & Machine Learning,150000.0,North America,0,North America,M,0.47734389254919796
1934,2022,MI,Data Engineering & Infrastructure,35610.0,Other,50,Other,L,0.08166731379048234
1935,2022,SE,Artificial Intelligence (AI),125000.0,Other,100,Other,L,0.3908685496960824
1936,2022,SE,Data Engineering & Infrastructure,120000.0,North America,0,North America,M,0.3735734811254593
1937,2022,SE,Data Engineering & Infrastructure,95000.0,North America,0,North America,M,0.2870981382723437
1938,2022,MI,Data Analysis & Analytics,150000.0,North America,0,North America,M,0.47734389254919796
1939,2022,MI,Data Analysis & Analytics,100000.0,North America,0,North America,M,0.30439320684296683
1940,2022,SE,Data Science & Machine Learning,47280.0,Europe,0,Europe,M,0.1220340038343167
1941,2022,SE,Data Science & Machine Learning,37824.0,Europe,0,Europe,M,0.08932557015355427
1942,2022,SE,Data Analysis & Analytics,115934.0,North America,100,North America,M,0.35950913136382856
1943,2022,SE,Data Analysis & Analytics,81666.0,North America,100,North America,M,0.24097564940820598
1944,2022,SE,Data Science & Machine Learning,175000.0,North America,100,North America,M,0.5638192354023136
1945,2022,SE,Data Science & Machine Learning,140000.0,North America,100,North America,M,0.44275375540795175
1946,2022,SE,Data Engineering & Infrastructure,120000.0,North America,0,North America,M,0.3735734811254593
1947,2022,SE,Data Engineering & Infrastructure,95000.0,North America,0,North America,M,0.2870981382723437
1948,2022,SE,Data Science & Machine Learning,249500.0,North America,0,North America,M,0.821515757104598
1949,2022,SE,Data Science & Machine Learning,149850.0,North America,0,North America,M,0.4768250404920793
1950,2022,MI,Data Analysis & Analytics,122500.0,North America,100,North America,M,0.38222101541077086
1951,2022,MI,Data Analysis & Analytics,100000.0,North America,100,North America,M,0.30439320684296683
1952,2022,SE,Data Science & Machine Learning,249500.0,North America,0,North America,M,0.821515757104598
1953,2022,SE,Data Science & Machine Learning,149850.0,North America,0,North America,M,0.4768250404920793
1954,2022,EN,Data Analysis & Analytics,55000.0,North America,0,North America,M,0.14873758970735879
1955,2022,EN,Data Analysis & Analytics,48000.0,North America,0,North America,M,0.12452449370848642
1956,2022,SE,Data Science & Machine Learning,249500.0,North America,0,North America,M,0.821515757104598
1957,2022,SE,Data Science & Machine Learning,149850.0,North America,0,North America,M,0.4768250404920793
1958,2022,MI,Artificial Intelligence (AI),58837.0,Europe,100,Europe,S,0.16200982532845498
1959,2022,SE,Data Engineering & Infrastructure,190000.0,North America,100,North America,M,0.6157044411141829
1960,2022,SE,Data Engineering & Infrastructure,120000.0,North America,100,North America,M,0.3735734811254593
1961,2022,SE,Data Analysis & Analytics,127000.0,North America,100,North America,M,0.39778657712433163
1962,2022,SE,Data Analysis & Analytics,104000.0,North America,100,North America,M,0.3182292616994653
1963,2022,SE,Data Science & Machine Learning,210000.0,North America,100,North America,M,0.6848847153966754
1964,2022,SE,Data Science & Machine Learning,150000.0,North America,100,North America,M,0.47734389254919796
1965,2022,SE,Data Science & Machine Learning,210000.0,North America,100,North America,M,0.6848847153966754
1966,2022,SE,Data Science & Machine Learning,150000.0,North America,100,North America,M,0.47734389254919796
1967,2022,SE,Data Engineering & Infrastructure,210000.0,North America,100,North America,M,0.6848847153966754
1968,2022,SE,Data Engineering & Infrastructure,130000.0,North America,100,North America,M,0.4081636182667055
